Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Emissions,Vehicle_Condition,Tire_Condition,Performance_Optimization,Scenario_Adaptability
Ford,F-150,Electric,E,4,Off-Road,33,Highway,Low,Snowy,299,,103,208,Poor,Flat,High,8
Hyundai,Sonata,Diesel,C,4,Off-Road,20,City streets,High,Snowy,176,,167,262,Moderate wear,Flat,Low,5
BMW,X5,Diesel,B,4,Extreme Weather,14,Off-road terrain,High,Snowy,314,,120,294,Well-maintained,Flat,High,2
Hyundai,Kona EV,Petrol,E,5,Extreme Weather,-2,Off-road terrain,Medium,Snowy,474,,154,191,Poor,New,Medium,10
Hyundai,Sonata,Petrol,A,5,Extreme Weather,33,Highway,Low,Snowy,198,,108,218,Moderate wear,Flat,Medium,3
BMW,3 Series,Diesel,E,5,Urban,23,Off-road terrain,Low,Clear,257,,109,155,Poor,Worn,High,8
Hyundai,Sonata,Diesel,E,4,Extreme Weather,15,Highway,High,Rainy,206,,192,277,Well-maintained,Flat,High,3
Toyota,Camry,Electric,A,4,Off-Road,14,City streets,Medium,Clear,333,,154,264,Well-maintained,Flat,High,2
Tesla,Model S,Electric,E,5,Highway,21,Off-road terrain,Medium,Rainy,168,,116,266,Poor,New,High,5
Hyundai,Kona EV,Petrol,D,5,Extreme Weather,8,City streets,Medium,Clear,206,,182,166,Poor,New,Low,9
BMW,3 Series,Electric,B,5,Extreme Weather,6,City streets,Low,Clear,258,,100,196,Moderate wear,Flat,Medium,2
Tesla,Model S,Diesel,D,4,Urban,25,Highway,Medium,Clear,187,,158,286,Moderate wear,Flat,Low,2
Mercedes,GLE,Electric,C,4,Extreme Weather,22,Highway,High,Rainy,299,,130,197,Moderate wear,Flat,High,1
Toyota,Corolla,Petrol,E,4,Extreme Weather,32,Off-road terrain,Medium,Rainy,223,,178,257,Poor,Worn,Low,3
BMW,X5,Diesel,E,5,Highway,28,Off-road terrain,Medium,Rainy,327,,131,152,Poor,New,High,7
Mercedes,GLE,Electric,D,5,Highway,0,Off-road terrain,Low,Rainy,368,,176,170,Poor,Flat,High,8
Hyundai,Sonata,Petrol,B,4,Extreme Weather,7,Off-road terrain,Medium,Clear,381,,198,151,Moderate wear,Flat,Medium,6
Tesla,Model S,Diesel,D,4,Off-Road,33,Off-road terrain,Low,Snowy,462,,152,161,Well-maintained,New,High,3
Tesla,Model 3,Electric,D,5,Heavy Traffic,28,Off-road terrain,High,Rainy,386,,170,215,Well-maintained,Worn,High,7
Toyota,Corolla,Petrol,A+,5,Off-Road,0,Highway,Medium,Rainy,489,,188,262,Well-maintained,New,Medium,5
Ford,Mustang,Diesel,B,5,Heavy Traffic,4,Off-road terrain,Medium,Clear,449,,181,165,Moderate wear,Worn,High,5
BMW,X5,Electric,A,5,Heavy Traffic,1,Highway,High,Clear,336,,137,202,Well-maintained,New,High,10
Tesla,Model S,Electric,D,4,Extreme Weather,5,City streets,Medium,Rainy,170,,138,251,Poor,Flat,Low,1
Tesla,Model S,Petrol,B,5,Extreme Weather,14,Off-road terrain,High,Snowy,359,,163,218,Moderate wear,Worn,Low,10
Ford,Mustang,Petrol,C,5,Extreme Weather,-3,Highway,Low,Rainy,367,,160,239,Well-maintained,Worn,Low,1
Mercedes,E-Class,Electric,E,4,Extreme Weather,15,Highway,Medium,Snowy,239,,157,251,Well-maintained,New,Medium,5
Tesla,Model 3,Diesel,D,5,Heavy Traffic,3,Off-road terrain,Medium,Rainy,434,,179,233,Moderate wear,Flat,High,8
Mercedes,GLE,Electric,A++,5,Extreme Weather,3,City streets,High,Rainy,239,,128,198,Poor,New,Medium,7
Ford,Mustang,Diesel,E,4,Urban,3,City streets,High,Snowy,236,,173,274,Moderate wear,Worn,Medium,10
Ford,Mustang,Petrol,B,5,Highway,14,City streets,Low,Rainy,400,,100,265,Poor,Flat,Low,8
Hyundai,Kona EV,Diesel,B,5,Extreme Weather,4,Off-road terrain,High,Clear,392,,153,293,Poor,New,Medium,3
BMW,X5,Petrol,D,5,Heavy Traffic,28,Off-road terrain,Low,Snowy,327,,186,208,Poor,New,High,5
Ford,F-150,Petrol,B,4,Extreme Weather,7,City streets,High,Rainy,435,,153,229,Well-maintained,New,Medium,8
Tesla,Model S,Petrol,B,4,Extreme Weather,30,City streets,Medium,Clear,318,,117,215,Poor,Flat,High,6
Ford,F-150,Electric,C,5,Urban,31,Highway,Medium,Snowy,208,,196,252,Moderate wear,Flat,Low,5
Ford,Mustang,Electric,D,5,Extreme Weather,29,City streets,Low,Clear,181,,173,230,Moderate wear,New,High,4
BMW,3 Series,Petrol,C,4,Urban,9,Highway,Medium,Rainy,498,,103,224,Moderate wear,Worn,Medium,10
Ford,Mustang,Petrol,E,4,Extreme Weather,-2,Off-road terrain,Medium,Rainy,241,,151,157,Well-maintained,Worn,Low,9
Ford,Mustang,Electric,D,4,Urban,-3,Highway,Low,Rainy,211,,102,217,Well-maintained,Flat,Low,7
Toyota,Camry,Petrol,C,4,Heavy Traffic,-4,Highway,Low,Rainy,218,,157,193,Poor,New,High,7
Hyundai,Kona EV,Electric,D,4,Off-Road,6,City streets,Medium,Clear,295,,184,253,Moderate wear,New,Medium,2
Tesla,Model S,Diesel,E,5,Heavy Traffic,14,City streets,High,Rainy,480,,178,221,Moderate wear,Flat,Low,2
Ford,F-150,Petrol,D,5,Extreme Weather,27,Off-road terrain,High,Clear,175,,195,221,Well-maintained,New,Medium,5
Hyundai,Sonata,Electric,B,5,Heavy Traffic,12,Highway,Low,Clear,354,,138,279,Moderate wear,Worn,Low,9
BMW,3 Series,Diesel,C,4,Urban,0,Highway,High,Snowy,248,,113,200,Well-maintained,New,Medium,5
Tesla,Model S,Petrol,E,4,Extreme Weather,28,Off-road terrain,Medium,Rainy,269,,158,296,Poor,New,Low,9
Hyundai,Kona EV,Electric,B,4,Heavy Traffic,-4,City streets,Low,Clear,173,,198,249,Moderate wear,New,Medium,10
Toyota,Corolla,Electric,B,4,Highway,-4,Highway,High,Clear,381,,125,227,Well-maintained,Flat,Medium,2
Toyota,Camry,Petrol,B,5,Heavy Traffic,0,Off-road terrain,Low,Clear,276,,139,280,Moderate wear,Worn,Low,5
Toyota,Corolla,Electric,C,4,Off-Road,27,Off-road terrain,Medium,Clear,314,,191,180,Moderate wear,New,Low,2
Mercedes,E-Class,Petrol,E,5,Highway,32,Highway,Low,Clear,270,,131,216,Poor,New,Low,9
Toyota,Corolla,Petrol,A+,4,Off-Road,7,City streets,High,Rainy,458,,183,218,Moderate wear,New,Medium,7
Toyota,Camry,Diesel,C,4,Extreme Weather,7,Off-road terrain,Medium,Clear,441,,162,223,Moderate wear,Flat,High,7
Tesla,Model 3,Petrol,A++,5,Highway,9,City streets,Low,Rainy,426,,116,206,Moderate wear,Worn,Medium,3
Mercedes,E-Class,Electric,E,5,Heavy Traffic,34,Highway,Low,Rainy,338,,153,168,Well-maintained,Worn,Medium,10
Mercedes,E-Class,Petrol,B,4,Off-Road,10,Off-road terrain,Medium,Rainy,161,,134,170,Well-maintained,New,Low,4
Toyota,Camry,Petrol,A+,5,Urban,0,Off-road terrain,Low,Clear,406,,169,175,Moderate wear,Flat,Low,10
Tesla,Model S,Petrol,A+,4,Heavy Traffic,18,City streets,High,Rainy,496,,124,181,Moderate wear,Worn,Medium,9
BMW,X5,Diesel,D,5,Extreme Weather,22,Off-road terrain,High,Rainy,436,,148,249,Poor,Flat,High,5
Mercedes,GLE,Diesel,E,5,Off-Road,-2,Highway,Medium,Rainy,428,,158,264,Moderate wear,Flat,Low,5
Ford,F-150,Diesel,C,5,Highway,29,Off-road terrain,High,Rainy,472,,152,227,Poor,New,Medium,3
Hyundai,Sonata,Electric,A++,5,Extreme Weather,22,Highway,Low,Rainy,250,,120,295,Well-maintained,New,Low,2
Hyundai,Kona EV,Diesel,C,5,Off-Road,23,City streets,High,Clear,307,,180,219,Moderate wear,New,Medium,8
Tesla,Model 3,Petrol,E,4,Urban,1,Off-road terrain,Low,Rainy,383,,134,242,Poor,Worn,Medium,8
Ford,Mustang,Electric,C,5,Heavy Traffic,28,Highway,High,Clear,431,,156,156,Poor,Worn,Medium,6
BMW,3 Series,Electric,D,4,Highway,-3,Off-road terrain,High,Clear,399,,119,273,Poor,Flat,High,7
Hyundai,Kona EV,Diesel,D,4,Highway,12,City streets,Low,Snowy,430,,177,174,Moderate wear,Flat,Low,5
Tesla,Model S,Electric,C,5,Urban,12,Off-road terrain,Medium,Rainy,459,,105,272,Poor,Worn,High,10
Ford,Mustang,Petrol,E,4,Heavy Traffic,34,City streets,High,Rainy,384,,132,189,Moderate wear,New,Medium,9
Tesla,Model 3,Diesel,A+,5,Heavy Traffic,18,Highway,Medium,Rainy,288,,147,188,Well-maintained,Worn,Medium,5
Tesla,Model 3,Electric,E,5,Highway,10,City streets,Low,Snowy,262,,192,298,Well-maintained,Worn,Low,9
Mercedes,E-Class,Electric,E,4,Extreme Weather,3,City streets,Low,Clear,161,,109,160,Moderate wear,Worn,High,8
Hyundai,Kona EV,Electric,E,4,Heavy Traffic,32,Off-road terrain,High,Rainy,457,,179,171,Well-maintained,Worn,Low,7
BMW,X5,Electric,E,4,Off-Road,20,City streets,Low,Snowy,482,,154,185,Well-maintained,Worn,Low,2
BMW,3 Series,Electric,D,5,Off-Road,14,Highway,Low,Snowy,172,,171,261,Well-maintained,Flat,High,5
Ford,F-150,Electric,E,5,Heavy Traffic,33,Off-road terrain,Medium,Clear,211,,138,268,Poor,New,High,10
BMW,3 Series,Diesel,B,4,Off-Road,23,Highway,Low,Snowy,168,,107,187,Well-maintained,Worn,Low,1
Toyota,Corolla,Electric,A,5,Highway,0,Highway,High,Clear,312,,197,211,Well-maintained,Worn,Medium,10
Toyota,Camry,Electric,B,5,Heavy Traffic,3,Highway,High,Rainy,195,,121,157,Poor,Worn,High,2
Ford,F-150,Electric,A+,4,Urban,1,Highway,Low,Snowy,467,,122,205,Poor,Flat,Medium,1
BMW,3 Series,Petrol,B,5,Extreme Weather,12,City streets,High,Rainy,377,,162,287,Well-maintained,Worn,Medium,4
Mercedes,E-Class,Electric,B,4,Extreme Weather,13,Off-road terrain,Medium,Clear,349,,117,188,Well-maintained,Worn,Medium,7
Toyota,Corolla,Petrol,B,4,Extreme Weather,1,Off-road terrain,Medium,Clear,242,,193,271,Poor,Flat,High,7
Tesla,Model 3,Petrol,C,4,Heavy Traffic,5,Off-road terrain,Low,Snowy,180,,101,164,Moderate wear,Flat,High,2
Mercedes,GLE,Petrol,D,4,Heavy Traffic,13,Off-road terrain,Medium,Clear,226,,165,210,Poor,Flat,Low,7
Ford,F-150,Diesel,D,5,Extreme Weather,22,Highway,High,Rainy,302,,196,264,Poor,New,High,5
BMW,X5,Diesel,C,4,Extreme Weather,21,City streets,High,Snowy,242,,135,202,Well-maintained,Worn,Medium,5
BMW,3 Series,Petrol,D,5,Extreme Weather,19,Highway,High,Clear,310,,113,230,Well-maintained,Flat,Low,1
Ford,F-150,Diesel,E,4,Extreme Weather,21,City streets,Low,Rainy,367,,176,270,Poor,New,Low,1
Toyota,Corolla,Electric,E,5,Urban,4,Highway,High,Snowy,365,,175,268,Well-maintained,New,Medium,1
Hyundai,Kona EV,Petrol,E,4,Urban,18,Highway,Low,Clear,395,,198,209,Moderate wear,Flat,Medium,7
Tesla,Model 3,Petrol,A+,4,Extreme Weather,18,City streets,High,Snowy,402,,109,279,Poor,Worn,Low,4
BMW,3 Series,Diesel,D,5,Urban,12,City streets,Medium,Rainy,233,,197,220,Poor,New,High,3
Ford,F-150,Electric,E,4,Extreme Weather,16,Highway,Low,Clear,429,,113,173,Well-maintained,Worn,Medium,6
Hyundai,Sonata,Electric,A+,5,Urban,31,City streets,Medium,Snowy,444,,141,178,Moderate wear,Flat,Medium,10
Hyundai,Kona EV,Electric,A++,4,Highway,-4,City streets,Medium,Rainy,380,,170,240,Moderate wear,New,High,4
Mercedes,E-Class,Petrol,D,4,Extreme Weather,12,Highway,High,Clear,350,,105,197,Poor,New,Low,6
Mercedes,E-Class,Diesel,C,5,Urban,27,Highway,Medium,Rainy,169,,159,256,Well-maintained,New,High,2
Mercedes,E-Class,Diesel,D,5,Highway,29,City streets,High,Clear,470,,141,286,Well-maintained,New,Medium,6
Toyota,Corolla,Electric,B,4,Extreme Weather,28,Off-road terrain,Low,Clear,374,,150,219,Well-maintained,Worn,Medium,4
BMW,X5,Diesel,D,4,Highway,10,Off-road terrain,Medium,Clear,250,,128,231,Poor,Worn,Low,5
Toyota,Corolla,Diesel,D,5,Extreme Weather,27,Highway,High,Clear,331,,183,226,Poor,New,Low,1
Toyota,Camry,Electric,D,4,Heavy Traffic,25,City streets,High,Rainy,159,,107,208,Moderate wear,Worn,High,4
Toyota,Camry,Diesel,E,5,Heavy Traffic,16,Off-road terrain,Medium,Clear,192,,173,171,Moderate wear,Worn,High,5
Ford,F-150,Diesel,A,4,Heavy Traffic,32,Off-road terrain,High,Rainy,448,,119,170,Moderate wear,Worn,Medium,9
Hyundai,Sonata,Petrol,B,4,Highway,20,Off-road terrain,High,Snowy,424,,150,219,Moderate wear,New,Low,10
Hyundai,Sonata,Diesel,A++,5,Off-Road,17,Off-road terrain,Low,Snowy,471,,165,222,Poor,New,Low,5
Hyundai,Kona EV,Diesel,D,4,Off-Road,34,Highway,Low,Clear,342,,173,281,Poor,Flat,Medium,1
Tesla,Model 3,Petrol,E,5,Off-Road,14,Off-road terrain,Medium,Clear,459,,130,253,Moderate wear,Worn,Low,3
BMW,3 Series,Electric,D,5,Off-Road,11,Highway,High,Snowy,339,,193,288,Well-maintained,Flat,Low,4
BMW,X5,Electric,C,4,Extreme Weather,21,City streets,High,Rainy,222,,103,222,Moderate wear,Worn,Low,10
Tesla,Model 3,Petrol,A+,4,Off-Road,-4,Highway,Medium,Clear,354,,157,291,Poor,New,Medium,2
Toyota,Camry,Petrol,B,4,Off-Road,8,Off-road terrain,Low,Snowy,212,,161,198,Moderate wear,Flat,Medium,7
Hyundai,Kona EV,Diesel,A+,5,Urban,32,Highway,Low,Clear,224,,128,201,Moderate wear,Worn,High,9
Ford,F-150,Petrol,E,4,Heavy Traffic,9,City streets,Medium,Snowy,251,,153,185,Moderate wear,Flat,High,7
Toyota,Corolla,Electric,C,5,Urban,23,Off-road terrain,High,Snowy,225,,129,280,Well-maintained,Flat,Medium,7
Tesla,Model S,Electric,B,4,Urban,11,Highway,Low,Clear,340,,150,290,Moderate wear,New,High,10
BMW,3 Series,Electric,A,4,Urban,24,City streets,High,Clear,174,,111,174,Moderate wear,Worn,Low,9
Tesla,Model 3,Petrol,E,5,Urban,-1,City streets,Low,Rainy,296,,122,267,Moderate wear,Worn,High,10
Ford,F-150,Diesel,E,5,Highway,9,Off-road terrain,Medium,Snowy,432,,173,221,Moderate wear,Flat,Medium,1
BMW,3 Series,Diesel,E,5,Urban,26,Off-road terrain,Low,Clear,301,,187,164,Poor,New,High,10
Mercedes,GLE,Electric,C,5,Heavy Traffic,0,City streets,Medium,Rainy,479,,153,228,Moderate wear,Worn,Low,5
Tesla,Model 3,Petrol,D,5,Off-Road,6,Off-road terrain,Low,Snowy,241,,122,258,Moderate wear,Flat,Medium,1
Hyundai,Sonata,Diesel,D,4,Urban,20,Highway,Medium,Rainy,437,,185,206,Poor,Flat,High,10
Tesla,Model S,Electric,C,4,Urban,29,Off-road terrain,Medium,Clear,437,,151,267,Poor,Worn,Medium,4
Toyota,Corolla,Diesel,A++,4,Extreme Weather,3,Off-road terrain,Low,Rainy,336,,169,241,Well-maintained,Flat,Low,5
Tesla,Model 3,Petrol,B,4,Off-Road,30,Highway,Low,Rainy,217,,143,210,Moderate wear,New,Low,2
Toyota,Corolla,Diesel,E,5,Urban,19,Highway,Medium,Rainy,338,,102,190,Poor,Worn,Low,8
Ford,F-150,Diesel,D,5,Highway,24,City streets,High,Rainy,360,,130,172,Poor,Flat,High,1
BMW,X5,Petrol,A+,4,Off-Road,5,City streets,Medium,Snowy,497,,123,222,Well-maintained,Worn,Low,1
Mercedes,E-Class,Petrol,C,5,Extreme Weather,8,Highway,Low,Rainy,151,,123,213,Poor,New,Medium,7
Ford,F-150,Petrol,B,5,Extreme Weather,16,Off-road terrain,Medium,Clear,313,,155,170,Poor,Flat,High,6
Hyundai,Sonata,Electric,D,4,Heavy Traffic,-1,Highway,Medium,Snowy,197,,173,230,Well-maintained,New,Low,1
Hyundai,Sonata,Electric,B,5,Highway,24,City streets,Low,Clear,477,,148,205,Well-maintained,Worn,High,9
Toyota,Camry,Electric,D,5,Highway,23,Highway,Medium,Rainy,294,,159,210,Moderate wear,Flat,High,2
BMW,X5,Diesel,A,5,Highway,10,Off-road terrain,High,Clear,379,,123,267,Well-maintained,Worn,Medium,9
BMW,X5,Diesel,D,5,Off-Road,25,Off-road terrain,Medium,Snowy,386,,198,210,Poor,Flat,High,4
BMW,3 Series,Electric,B,5,Urban,16,City streets,High,Clear,264,,126,195,Well-maintained,Worn,Low,10
Toyota,Corolla,Electric,E,4,Highway,30,Off-road terrain,Low,Rainy,317,,137,286,Well-maintained,Flat,Medium,8
Tesla,Model 3,Petrol,B,5,Highway,-3,Highway,Low,Clear,156,,108,203,Poor,Worn,Medium,1
Hyundai,Kona EV,Diesel,B,4,Off-Road,8,City streets,High,Clear,424,,180,283,Well-maintained,Worn,Low,7
Hyundai,Kona EV,Electric,B,5,Heavy Traffic,18,Off-road terrain,Low,Snowy,239,,167,194,Well-maintained,Flat,Medium,4
Tesla,Model S,Electric,A,4,Urban,22,City streets,High,Rainy,409,,178,257,Poor,Worn,Medium,1
Tesla,Model 3,Electric,A++,5,Heavy Traffic,-3,City streets,High,Rainy,249,,160,271,Well-maintained,Worn,Low,1
Hyundai,Kona EV,Petrol,A,5,Off-Road,15,City streets,High,Snowy,431,,140,187,Well-maintained,Flat,Low,1
BMW,X5,Petrol,E,4,Off-Road,8,City streets,Low,Rainy,204,,150,178,Moderate wear,New,Medium,8
Ford,F-150,Electric,C,4,Heavy Traffic,22,Off-road terrain,High,Snowy,374,,197,218,Poor,Flat,High,7
Hyundai,Kona EV,Electric,E,5,Highway,2,Off-road terrain,Medium,Clear,270,,168,271,Poor,Worn,High,1
BMW,3 Series,Electric,A,5,Heavy Traffic,17,Highway,Medium,Clear,191,,111,222,Poor,Worn,Medium,3
Ford,Mustang,Diesel,D,4,Heavy Traffic,3,City streets,Medium,Snowy,261,,120,238,Well-maintained,Flat,High,9
Toyota,Corolla,Electric,A++,4,Urban,23,Highway,Low,Rainy,345,,193,280,Moderate wear,New,High,9
Toyota,Corolla,Diesel,A+,4,Heavy Traffic,31,Off-road terrain,Low,Rainy,417,,110,221,Moderate wear,Worn,Medium,1
Ford,Mustang,Petrol,A+,4,Extreme Weather,27,Off-road terrain,Low,Snowy,414,,108,176,Well-maintained,New,High,1
Toyota,Camry,Petrol,A+,4,Urban,12,City streets,High,Snowy,285,,102,174,Poor,Flat,Medium,5
Toyota,Corolla,Petrol,D,4,Highway,10,Off-road terrain,Medium,Clear,284,,177,212,Well-maintained,New,Low,9
Mercedes,GLE,Electric,D,5,Heavy Traffic,16,Highway,Low,Clear,359,,149,188,Well-maintained,New,Medium,3
Mercedes,GLE,Electric,D,5,Off-Road,17,Off-road terrain,Medium,Snowy,482,,115,247,Moderate wear,New,Medium,4
Toyota,Corolla,Diesel,B,5,Extreme Weather,7,Off-road terrain,Low,Rainy,417,,103,244,Poor,Worn,Low,8
Mercedes,E-Class,Petrol,D,5,Urban,10,City streets,Medium,Rainy,442,,178,226,Moderate wear,Worn,Low,1
Mercedes,E-Class,Electric,D,5,Heavy Traffic,1,Off-road terrain,High,Clear,344,,192,252,Poor,New,High,10
BMW,X5,Electric,E,5,Off-Road,20,City streets,Low,Snowy,154,,177,236,Poor,Flat,Medium,3
Toyota,Corolla,Electric,E,4,Heavy Traffic,25,City streets,High,Rainy,367,,165,226,Poor,New,High,2
Hyundai,Kona EV,Electric,D,5,Off-Road,2,Highway,High,Clear,286,,189,229,Moderate wear,Flat,Medium,8
BMW,X5,Electric,D,5,Highway,19,City streets,Medium,Snowy,398,,175,187,Well-maintained,Worn,High,2
